nome_produto,preco,preco_original,desconto_percentual,codigo_produto,categoria_busca,fonte,url_produto,imagem_url
Arroz Carnaroli Tipo 1 Caldo Bom SeleÃ§Ã£o Especial 500g,17.69,,,327293728,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-carnaroli-tipo-1-caldo-bom-selecao-especial-500g-327293728,
Arroz Integral Misturado Tipo 1 Caldo Bom Gourmet 500g,11.99,,,8648,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-integral-misturado-tipo-1-caldo-bom-gourmet-500g-8648,
Arroz Vermelho Longo Tipo 1 Camil Premium 500g,27.49,,,2441,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-vermelho-longo-tipo-1-camil-premium-500g-2441,
Arroz Vermelho Tipo 1 Caldo Bom SeleÃ§Ã£o Especial 500g,22.99,,,327251840,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-vermelho-tipo-1-caldo-bom-selecao-especial-500g-327251840,
Arroz Integral Longo-fino Tipo 1 Caldo Bom Gourmet 500g,8.99,,,11651,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-integral-longo-fino-tipo-1-caldo-bom-gourmet-500g-11651,
Arroz para Paella Tipo1 La Pastina Caixa 1Kg,30.18,,,324919622,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-para-paella-tipo1-la-pastina-caixa-1kg-324919622,
Arroz Branco Longo-fino Tipo 1 GrÃ£os Selecionados Carrefour 5Kg,15.99,,,4273,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-graos-selecionados-carrefour-5kg-4273,
Arroz Branco Prato Fino Tipo 1 - 5kg,31.18,,,4302,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-prato-fino-tipo-1-5kg-4302,
Arroz Branco Longo-fino Tipo 1 Tio JoÃ£o 1 Kg,6.29,,,1972,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-tio-joao-1-kg-1972,
Arroz Branco Longo-fino Tipo 1 Tio JoÃ£o 5 Kg,30.18,,,14973,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-tio-joao-5-kg-14973,
Arroz Branco Camil Tipo 1 1kg,5.18,,,15310,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-camil-tipo-1-1kg-15310,
Arroz Tipo 1 Seletto Tradicional 5kg,17.79,,,339966462,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-tipo-1-seletto-tradicional-5kg-339966462,
Arroz Branco Longo-fino Tipo 1 Namorado 5Kg,22.89,,,5854,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-branco-longo-fino-tipo-1-namorado-5kg-5854,
Arroz Integral Longo-fino Tipo 1 Tio JoÃ£o 1 Kg,7.59,,,14963,arroz,Carrefour,https://mercado.carrefour.com.br/produto/arroz-integral-longo-fino-tipo-1-tio-joao-1-kg-14963,
Feijao Preto Carrefour 1 Kg,5.08,5.98,15.05,6297839,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-preto-carrefour-1-kg-6297839,
FeijÃ£o Carioca Tipo 1 Kicaldo 1Kg,6.11,8.99,32.04,2967,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-kicaldo-1kg-2967,
FeijÃ£o Preto Tipo 1 Kicaldo 1Kg,4.75,6.99,32.05,8066,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-preto-tipo-1-kicaldo-1kg-8066,
FeijÃ£o Carioca Tipo 1 Pantera 1Kg,7.73,11.39,32.13,15496,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-pantera-1kg-15496,
FeijÃ£o Carioca Tipo 1 Broto Legal 1 Kg,6.71,9.89,32.15,2968,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-broto-legal-1-kg-2968,
FeijÃ£o CariocaÂ ConfiareÂ 1kg,7.05,8.29,14.96,332590102,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-confiare-1kg-332590102,
FeijÃ£o Carioca Tipo 1 5 Estrelas 1 Kg,4.75,6.99,32.05,10143,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-5-estrelas-1-kg-10143,
FeijÃ£o Solito Carioca Tipo 1 1Kg,6.79,7.99,15.02,4931,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-solito-carioca-tipo-1-1kg-4931,
FeijÃ£o Rosinha Tipo 1 Camil 500g,8.49,9.99,15.02,4737148,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-rosinha-tipo-1-camil-500g-4737148,
FeijÃ£o Vermelho Tipo 1 Meu Biju 500g,8.49,9.99,15.02,4864,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-vermelho-tipo-1-meu-biju-500g-4864,
FeijÃ£o Carioca Tipo 1 EmpÃ³rio SÃ£o JoÃ£o Pacote 1 Kg,7.64,8.99,15.02,4764805,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-emporio-sao-joao-pacote-1-kg-4764805,
FeijÃ£o Jalo Tipo 1 Broto Legal 500 g,7.64,8.99,15.02,310882656,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-jalo-tipo-1-broto-legal-500-g-310882656,
FeijÃ£o Carioca Bulnez Tipo 1 1Kg,7.05,8.29,14.96,340459324,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-bulnez-tipo-1-1kg-340459324,
FeijÃ£o Carioca Tipo 1 Super MÃ¡ximo 1Kg,7.64,8.99,15.02,15288,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-tipo-1-super-maximo-1kg-15288,
FeijÃ£o Carioca Da Casa 1 kg,6.79,7.99,15.02,4737245,feijao,Carrefour,https://mercado.carrefour.com.br/produto/feijao-carioca-da-casa-1-kg-4737245,
AÃ§Ãºcar Refinado Carrefour 1kg,2.59,3.19,18.81,17755,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-carrefour-1kg-17755,
AÃ§Ãºcar Demerara OrgÃ¢nico Carrefour Bio 1 Kg,6.39,7.99,20.03,6470432,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-demerara-organico-carrefour-bio-1-kg-6470432,
Coca-Cola Sem AÃ§Ãºcar 6 Unidades 350 ml Cada Pack Leve Mais Pague Menos,20.99,23.7,11.43,11242198,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-6-unidades-350-ml-cada-pack-leve-mais-pague-menos-11242198,
AÃ§Ãºcar Refinado UniÃ£o 1kg,3.79,,,2406,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-uniao-1kg-2406,
AÃ§Ãºcar Refinado Caravelas 1kg,2.98,,,15211,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-caravelas-1kg-15211,
Coca-Cola Sem AÃ§Ãºcar Pet 2 L,11.49,,,3132,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-2-l-3132,
