item_basico,nome_produto,preco,preco_original,desconto_percentual,codigo_produto,categoria_busca,fonte,url_produto
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 100ML,8.41,8.41,0.0,7896094910904,acucar,saoluiz,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-com-sacarina-zero-cal-100ml
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 200ML,13.67,13.67,0.0,7896094910959,acucar,saoluiz,https://mercadinhossaoluiz.com.br/produto/adocante-zero-cal-200ml
oleo,MOLHO DE TOMATE POMAROLA RECEITAS BOLONHESA 300G,9.15,9.15,0.0,7896036095126,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/pomarola-bolonhesa-sache-300g
oleo,COLORÍFICO DONA CLARA 100G,1.36,1.36,0.0,7896490288898,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/colorau-colorifico-dona-clara-100g
oleo,MOLHO DE PIMENTA TABASCO BRAND PEPPER 60ML,30.52,30.52,0.0,11210115606,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/molho-americano-tabasco-red-pepper-60ml
oleo,TEMPERO SAZÓN CARNE 60G,6.37,6.37,0.0,7891132019281,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-carne-floppy-60g
oleo,TEMPERO SAZÓN AVES 60G,6.37,6.37,0.0,7891132019274,oleo,saoluiz,https://mercadinhossaoluiz.com.br/produto/tempero-para-frango-sazon-60g
ovos,PÃO DE QUEIJO YOKI 250G,14.62,14.62,0.0,7891095300808,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/massa-para-pao-de-queijo-yoki-250g
ovos,SOPA MAGGI CEBOLA PACOTE 68G,7.74,7.74,0.0,7891000530603,ovos,saoluiz,https://mercadinhossaoluiz.com.br/produto/sopa-maggi-cebola-68g-79138
acucar,Coca-Cola Sem Açúcar Pet 600 ml,5.49,6.09,9.85,3391,acucar,carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-600-ml-3391
acucar,Coca-Cola Sem Açúcar 6 Unidades 350 ml Cada Pack Leve Mais Pague Menos,20.99,23.7,11.43,11242198,acucar,carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-6-unidades-350-ml-cada-pack-leve-mais-pague-menos-11242198
