item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
arroz,BISCOITO ARROZ NATURATTA INTEGRAL ZERO 60G,11.99,11.99,0.0,False,355,13758,7898965335106,2,biscoito-arroz-naturatta-integral-zero-60g,https://mercadinhossaoluiz.com.br/produto/biscoito-arroz-naturatta-integral-zero-60g,arroz,Mercadinho São Luiz
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 100ML,8.41,8.41,0.0,False,355,13760,7896094910904,20,adocante-liquido-com-sacarina-zero-cal-100ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-com-sacarina-zero-cal-100ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE LÍQUIDO ZERO CAL SACARINA 200ML,13.67,13.67,0.0,False,355,13760,7896094910959,8,adocante-zero-cal-200ml,https://mercadinhossaoluiz.com.br/produto/adocante-zero-cal-200ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE LÍQUIDO LINEA 75ML,19.25,19.25,0.0,False,355,13760,7896001250628,6,adocante-liquido-linea-75ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-linea-75ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE MAGRO C/ STÉVIA 80ML,9.46,9.46,0.0,False,355,13760,7896292010000,4,adocante-magro-com-stevia-80ml,https://mercadinhossaoluiz.com.br/produto/adocante-magro-com-stevia-80ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE SVILI STÉVIA EXTRA 90ML,10.62,10.62,0.0,False,355,13760,7897670700452,15,adocante-stevia-svili-excellent-90ml,https://mercadinhossaoluiz.com.br/produto/adocante-stevia-svili-excellent-90ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE EM PÓ LINEA STÉVIA 30G,17.0,17.0,0.0,False,355,13760,7896001210110,2,adocante-em-po-stevia-linea-30g,https://mercadinhossaoluiz.com.br/produto/adocante-em-po-stevia-linea-30g,acucar,Mercadinho São Luiz
acucar,ADOÇANTE LÍQUIDO LINEA STÉVIA 60ML,17.84,17.84,0.0,False,355,13760,7896001210103,3,adocante-linea-stevia-60ml,https://mercadinhossaoluiz.com.br/produto/adocante-linea-stevia-60ml,acucar,Mercadinho São Luiz
acucar,FRUTOSE LOWÇUCAR 200G,23.05,23.05,0.0,False,355,13760,7896292000131,2,adocante-frutose-lowcucar-200g,https://mercadinhossaoluiz.com.br/produto/adocante-frutose-lowcucar-200g,acucar,Mercadinho São Luiz
acucar,ADOÇANTE LÍQUIDO SUCRALOSE ZERO CAL 100ML,15.78,15.78,0.0,False,355,13760,7896094906624,8,adocante-liquido-sucralose-zero-cal-100ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-sucralose-zero-cal-100ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE MAGRO C/ SUCRALOSE 80ML,11.11,11.11,0.0,False,355,13760,7896292001497,7,adocante-magro-com-sucralose-80ml,https://mercadinhossaoluiz.com.br/produto/adocante-magro-com-sucralose-80ml,acucar,Mercadinho São Luiz
acucar,ADOCANTE ZERO CAL SUCRALOSE COM 2 100ML,21.04,21.04,0.0,False,355,13760,7896094912779,1,adocante-zero-cal-sucralose-com-2-100ml,https://mercadinhossaoluiz.com.br/produto/adocante-zero-cal-sucralose-com-2-100ml,acucar,Mercadinho São Luiz
acucar,ADOÇANTE LÍNEA XILITOL POUCH 300G,51.78,51.78,0.0,False,355,13760,7896001215238,2,adocante-linea-xilitol-pouch-300g,https://mercadinhossaoluiz.com.br/produto/adocante-linea-xilitol-pouch-300g,acucar,Mercadinho São Luiz
acucar,ADOÇANTE SVILI STÉVIA PURA 90ML,27.42,27.42,0.0,False,355,13760,7897670701749,1,adocante-stevia-pura-90ml,https://mercadinhossaoluiz.com.br/produto/adocante-stevia-pura-90ml,acucar,Mercadinho São Luiz
